level_strict3,locale_simple,reason,start_year,end_year,start_rate,end_rate,abs_change,pct_change,log_change,direction
Elementary,Town,Other,2017-18,2023-24,0.0030422613563270344,0.00176249049182761,-0.0012797708644994245,-0.4206643396491451,-0.5458732451168862,Decrease
Middle,Suburban,Violent (Injury),2017-18,2023-24,0.0070753941246271285,0.00833303291894635,0.0012576387943192217,0.17774823171218027,0.163604337185025,Increase
Elementary,Town,Violent (No Injury),2017-18,2023-24,0.027710654868487387,0.02653012003487876,-0.001180534833608627,-0.042602199017358254,-0.04353629889012041,Decrease
Elementary,Rural,Willful Defiance,2017-18,2023-24,0.0013895750988142292,2.1907004764773537e-4,-0.0011705050511664939,-0.8423474572661275,-1.8473617641400246,Decrease
Middle,City,Other,2017-18,2023-24,0.002660506810897436,0.0015197333246229463,-0.0011407734862744897,-0.42878051715631077,-0.5599817599185442,Decrease
High,City,Violent (No Injury),2017-18,2023-24,0.0213243955689767,0.020184175034007944,-0.0011402205349687541,-0.053470239345380435,-0.05495286598014511,Decrease
Middle,City,Illicit Drug,2017-18,2023-24,0.0038655598958333335,0.004995865431396246,0.0011303055355629129,0.2924040930736226,0.25650412199632533,Increase
High,Rural,Other,2017-18,2023-24,0.002847826396502869,0.0017319016279875303,-0.0011159247685153387,-0.3918514028403186,-0.4973360236544122,Decrease
High,Rural,Violent (Injury),2017-18,2023-24,0.007674892138575233,0.0087817600195603,0.001106867880985068,0.14421934028515832,0.13472260559805857,Increase
Elementary,Suburban,Violent (No Injury),2017-18,2023-24,0.011173758144411516,0.010095535089625334,-0.0010782230547861822,-0.09649600795462435,-0.10147475053639904,Decrease
Other/Unknown,Rural,Other,2017-18,2023-24,0.0028734454711221292,0.0018917387672008987,-9.817067039212305e-4,-0.34164793234717533,-0.41801543352575865,Decrease
Elementary,Town,Illicit Drug,2017-18,2023-24,5.041461676199085e-4,0.0014842025194337768,9.800563518138684e-4,NA,1.0797666418934946,Increase
Alternative,Town,Violent (Injury),2017-18,2023-24,0.010951228829746593,0.009985587811406217,-9.656410183403758e-4,-0.08817649903519735,-0.09230883728094037,Decrease
