level_strict3,locale_simple,academic_year,year_fct,n_races,max_rate,min_rate,spread_abs,spread_ratio,p90_rate,p10_rate,spread_9010,cv
Alternative,City,2017-18,2017-18,8,0.1001926782273603,0.0030864197530864196,0.09710625847427388,32.46242774566474,0.07287564210151797,0.012972795204578436,0.05990284689693953,0.6753312003477473
Alternative,City,2018-19,2018-19,8,0.10789506096809952,0.00315955766192733,0.10473550330617219,34.1487867964035,0.07557839483363973,0.008917018969529357,0.06666137586411038,0.6433054287660114
Alternative,City,2019-20,2019-20,8,0.09389734608648795,0,0.09389734608648795,NA,0.062421914288665045,0,0.062421914288665045,1.2292769630844786
Alternative,City,2021-22,2021-22,8,0.05870075658752935,0.002973240832507433,0.05572751575502192,19.74302113227237,0.04134086050900923,0.0036135896681037077,0.037727270840905526,0.9583975845958127
Alternative,City,2022-23,2022-23,8,0.08231076795808631,0,0.08231076795808631,NA,0.07654508223927775,0,0.07654508223927775,0.8663531512924508
Alternative,City,2023-24,2023-24,8,0.14285714285714285,0.0017730496453900709,0.14108409321175278,80.57142857142857,0.09955884051276127,0.004378068739770868,0.0951807717729904,0.9528948672148546
Alternative,Rural,2017-18,2017-18,7,0.3798449612403101,0,0.3798449612403101,NA,0.30409936778142665,0.03529411764705883,0.26880525013436785,1.0177921808853925
Alternative,Rural,2018-19,2018-19,7,0.41551724137931034,0.017241379310344827,0.39827586206896554,24.1,0.35345450547839796,0.025358090185676398,0.32809641529272154,1.0614320762594431
Alternative,Rural,2019-20,2019-20,8,0.42003853564547206,0,0.42003853564547206,NA,0.27216251826029575,0,0.27216251826029575,1.4500946649722226
Alternative,Rural,2021-22,2021-22,8,0.08678500986193294,0,0.08678500986193294,NA,0.07851075048333235,0,0.07851075048333235,0.9573527644119274
Alternative,Rural,2022-23,2022-23,8,0.1712962962962963,0,0.1712962962962963,NA,0.1393041055924637,0,0.1393041055924637,1.0918195220628837
Alternative,Rural,2023-24,2023-24,7,0.13544018058690746,0,0.13544018058690746,NA,0.10840644940091998,0.011764705882352943,0.09664174351856704,0.7421637843847493
